# n    p [hPa]  height [km]     delta_h [km]   delta_p [hpa]

1 	 1	48.27002053	5.50640014	 1
2 	 2	42.76362039	3.03922373	 1
3 	 3	39.72439666	3.63045236	 2	
4 	 5	36.09394430	2.34232658	 2
5 	 7	33.75161772	2.42510772	 3
6 	10	31.32651000	4.62365640	10
7 	20	26.70285360	2.75941926	10
8 	30	23.94343434	3.28218434	20
9 	50	20.66125000	2.14667805	20
10	70	18.51457195	2.28123862	30
11	100	16.23333333	1.42265372	25
12	125	14.81067961	1.15507795	25
13	150	13.65560166	0.98184279	25
14	175	12.67375887	0.85557705	25
15	200	11.81818182	0.75757576	25
16	225	11.06060606	0.66586922	25
17	250	10.39473684	1.20869033	50
18	300	 9.18604651	1.05202589	50
19	350	 8.13402062	0.93072377	50
20	400	 7.20329685	0.83995790	50
21	450	 6.36333895	0.77036668	50
22	500	 5.59297227	0.71780805	50
23	550	 4.87516422	0.65703039	50
24	600	 4.21813383	0.61293298	50
25	650	 3.60520085	0.59101634	50
26	700	 3.01418451	0.53444032	50	
27	750	 2.47974419	0.26652455	25
28	775	 2.21321964	0.26138920	25
29	800	 1.95183044	0.24084781	25
30	825	 1.71098263	0.24084781	25
31	850	 1.47013482	0.24084780	25
32	875	 1.22928702	0.23979499	25
33	900	 0.98949203	0.21891416	25
34	925	 0.77057787	0.21891417	25
35	950	 0.55166370	0.21891417	25
36	975	 0.33274953	0.21891416	25	
37     1000	 0.11383537	0.11383537	13

